"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Inh VIP FIGN","CS201912132_20","mouse","Pvalb Kank4","CS202002013_51",24.061693969654,0.306955446359906
"marmoset","Inh SNCG LOC108587895","CS201912132_18","mouse","Pvalb Kank4","CS202002013_51",24.1822803021226,0.30320605411751
"marmoset","Inh VIP LOC100397259","CS201912132_16","mouse","Pvalb Kank4","CS202002013_51",24.6339685629493,0.289161705753519
"marmoset","Inh VIP GPR149","CS201912132_21","mouse","Pvalb Kank4","CS202002013_51",24.8416341600592,0.282704756919627
"marmoset","Inh GAD1 NPSR1","CS201912132_17","mouse","Pvalb Kank4","CS202002013_51",24.8628932260801,0.282043748531797
"marmoset","Inh VIP CIT","CS201912132_24","mouse","Pvalb Kank4","CS202002013_51",24.90561044648,0.280715541499497
"marmoset","Inh VIP LOC108588071","CS201912132_22","mouse","Pvalb Kank4","CS202002013_51",25.1777519657684,0.272253842065031
"marmoset","Inh GAD1 LOC108589948","CS201912132_14","mouse","Pvalb Kank4","CS202002013_51",25.2794342941552,0.269092232242114
"marmoset","Inh VIP VAT1L","CS201912132_23","mouse","Pvalb Kank4","CS202002013_51",25.4040459416222,0.265217680833507
"marmoset","Inh LAMP5 TRPC6","CS201912132_4","mouse","Pvalb Kank4","CS202002013_51",25.423715612992,0.264606091512108
"marmoset","Inh VIP THSD7B","CS201912132_15","mouse","Pvalb Kank4","CS202002013_51",26.2339026706621,0.239414935875054
"marmoset","Inh VIP LOC108588539","CS201912132_25","mouse","Pvalb Kank4","CS202002013_51",26.4465607340647,0.232802756228473
"marmoset","Inh SNCG CNTN4","CS201912132_11","mouse","Pvalb Kank4","CS202002013_51",26.5786030662048,0.228697162454627
"marmoset","Inh PAX6 HMBOX1","CS201912132_7","mouse","Pvalb Kank4","CS202002013_51",27.0569176831571,0.213824920488958
"marmoset","Inh VIP CYP19A1","CS201912132_10","mouse","Pvalb Kank4","CS202002013_51",27.1445377719531,0.21110054804571
"marmoset","Inh PAX6 CDH4","CS201912132_12","mouse","Pvalb Kank4","CS202002013_51",27.4613668800187,0.201249376891998
"marmoset","Inh LAMP5 WWP1","CS201912132_5","mouse","Pvalb Kank4","CS202002013_51",27.4722245341861,0.200911779724289
"marmoset","Inh GAD1 PCP4","CS201912132_13","mouse","Pvalb Kank4","CS202002013_51",27.5972879084531,0.197023182769019
"marmoset","Inh SNCG PLPPR1","CS201912132_8","mouse","Pvalb Kank4","CS202002013_51",28.012027027575,0.184127694499162
"marmoset","Inh LAMP5 LOC108591196","CS201912132_6","mouse","Pvalb Kank4","CS202002013_51",28.2661915401271,0.176224954344896
"marmoset","Inh LAMP5 COL5A2","CS201912132_2","mouse","Pvalb Kank4","CS202002013_51",28.7714926445776,0.160513621208578
"marmoset","Inh LAMP5 TOX2","CS201912132_3","mouse","Pvalb Kank4","CS202002013_51",28.8894492919458,0.156845993795691
"marmoset","Inh SST NPY","CS201912132_1","mouse","Pvalb Kank4","CS202002013_51",29.485241371172,0.138321023724862
"marmoset","Inh PVALB OSBP2","CS201912132_43","mouse","Pvalb Reln","CS202002013_54",4.00054857626889,0.930716874141343
"marmoset","Inh PVALB LOC103790362","CS201912132_42","mouse","Pvalb Reln","CS202002013_54",4.70790801542806,0.908722938846398
"marmoset","Inh PVALB LOC103789439","CS201912132_44","mouse","Pvalb Reln","CS202002013_54",6.63230432511223,0.84888766193635
"marmoset","Inh PVALB GSTK1","CS201912132_45","mouse","Pvalb Reln","CS202002013_54",6.86196999753152,0.841746664504175
"marmoset","Inh PVALB ADAMTS3","CS201912132_48","mouse","Pvalb Reln","CS202002013_54",7.12342417503938,0.833617266712387
"marmoset","Inh PVALB OTOGL","CS201912132_41","mouse","Pvalb Reln","CS202002013_54",8.70538483803193,0.784429345360316
"marmoset","Inh PVALB C8H7orf62","CS201912132_46","mouse","Pvalb Reln","CS202002013_54",9.12031298813566,0.771527979547935
"marmoset","Inh PVALB SST EYS","CS201912132_49","mouse","Pvalb Reln","CS202002013_54",11.6825445908447,0.691860482429874
"marmoset","Inh PVALB SST LRRC6","CS201912132_47","mouse","Pvalb Reln","CS202002013_54",12.9187249596469,0.653423911799481
"marmoset","Inh PVALB PCDH19","CS201912132_50","mouse","Pvalb Reln","CS202002013_54",13.8133116661098,0.625608516897772
"marmoset","Inh PVALB KLHL29","CS201912132_51","mouse","Pvalb Reln","CS202002013_54",15.734428522103,0.565875208079601
"marmoset","Inh PVALB FAM19A4","CS201912132_52","mouse","Pvalb Reln","CS202002013_54",17.9033768730159,0.498436071698299
